id,customer,date,amount,last_updated,quantity,unit_price,total_price
4366,Costco,2025-04-02,1430,2025-04-02T00:18:00,1,155,155
9751,Costco,2025-04-02,1097,2025-04-02T07:30:00,1,180,180
7433,BestBuy,2025-04-02,1024,2025-04-02T23:25:00,1,70,70
6765,eBay,2025-04-02,1415,2025-04-02T22:51:00,1,90,90
1321,Amazon,2025-04-02,959,2025-04-02T23:20:00,2,129,258
5634,Costco,2025-04-02,1604,2025-04-02T08:55:00,1,174,174
3280,eBay,2025-04-03,756,2025-04-03T19:28:00,4,70,280
4136,Target,2025-04-03,1835,2025-04-03T15:23:00,2,124,248
6208,eBay,2025-04-03,447,2025-04-03T00:34:00,1,62,62
1571,Walmart,2025-04-03,1367,2025-04-03T18:28:00,3,104,312
6383,Walmart,2025-04-03,1259,2025-04-03T15:36:00,3,52,156
1757,Costco,2025-04-03,1612,2025-04-03T02:51:00,1,89,89
6207,eBay,2025-04-04,1950,2025-04-04T23:46:00,4,67,268
5793,Amazon,2025-04-04,1359,2025-04-04T02:09:00,5,128,640
2811,Walmart,2025-04-04,1197,2025-04-04T16:47:00,5,127,635
2227,BestBuy,2025-04-05,679,2025-04-05T05:49:00,1,60,60
6175,Amazon,2025-04-05,1612,2025-04-05T22:54:00,4,187,748
4209,Target,2025-04-05,1608,2025-04-05T05:47:00,2,154,308
9305,Amazon,2025-04-06,1754,2025-04-06T02:53:00,5,141,705
3647,Amazon,2025-04-06,1941,2025-04-06T06:15:00,5,128,640
4745,Amazon,2025-04-06,1920,2025-04-06T00:35:00,3,105,315
7031,Target,2025-04-06,1783,2025-04-06T14:31:00,2,111,222
5934,Costco,2025-04-06,1933,2025-04-06T14:38:00,3,171,513
3991,BestBuy,2025-04-07,1680,2025-04-07T23:15:00,5,200,1000
5360,Costco,2025-04-07,447,2025-04-07T00:57:00,5,195,975
1697,eBay,2025-04-07,1150,2025-04-07T21:16:00,5,128,640
6039,eBay,2025-04-07,1510,2025-04-07T18:02:00,3,122,366
5151,Amazon,2025-04-07,1512,2025-04-07T10:23:00,3,94,282
1588,eBay,2025-04-07,1925,2025-04-07T17:01:00,5,94,470
2967,BestBuy,2025-04-08,498,2025-04-08T14:16:00,5,56,280
6417,Amazon,2025-04-08,682,2025-04-08T19:22:00,3,158,474
8580,eBay,2025-04-08,351,2025-04-08T12:29:00,3,141,423
8736,Amazon,2025-04-08,400,2025-04-08T07:17:00,3,154,462
3456,BestBuy,2025-04-08,649,2025-04-08T21:46:00,2,97,194
5783,Target,2025-04-08,1533,2025-04-08T10:00:00,3,68,204
7018,Amazon,2025-04-09,907,2025-04-09T02:27:00,2,54,108
7846,Amazon,2025-04-09,1742,2025-04-09T22:07:00,4,147,588
7130,Walmart,2025-04-09,1091,2025-04-09T00:13:00,3,145,435
8984,Walmart,2025-04-09,1503,2025-04-09T01:10:00,4,169,676
3452,Costco,2025-04-09,479,2025-04-09T00:10:00,2,132,264
6073,Amazon,2025-04-10,895,2025-04-10T14:55:00,3,120,360
5571,Target,2025-04-10,570,2025-04-10T04:58:00,1,181,181
9703,Walmart,2025-04-10,928,2025-04-10T21:09:00,3,70,210
4795,Target,2025-04-11,1138,2025-04-11T07:22:00,4,121,484
9094,Target,2025-04-11,1818,2025-04-11T22:15:00,3,72,216
1076,Walmart,2025-04-11,1786,2025-04-11T20:00:00,1,80,80
9208,Costco,2025-04-11,534,2025-04-11T17:45:00,3,113,339
